Cetartiodactyla Balaenopteridae Balaenoptera Balaenoptera musculus 154321304.5
Cetartiodactyla Balaenidae Balaena Balaena mysticetus 79691178.99
Cetartiodactyla Balaenopteridae Balaenoptera Balaenoptera omurai 49904131.648
Cetartiodactyla Balaenopteridae Balaenoptera Balaenoptera bonaerensis 49904131.648
Cetartiodactyla Balaenopteridae Balaenoptera Balaenoptera physalus 47506008.23
Cetartiodactyla Neobalaenidae Caperea Caperea marginata 31999999.98
Cetartiodactyla Balaenopteridae Megaptera Megaptera novaeangliae 30000000.01
Cetartiodactyla Eschrichtiidae Eschrichtius Eschrichtius robustus 27324024.19
Cetartiodactyla Balaenidae Eubalaena Eubalaena japonica 22999999.91
Cetartiodactyla Balaenidae Eubalaena Eubalaena glacialis 22999999.91
Cetartiodactyla Balaenidae Eubalaena Eubalaena australis 22999999.91
Cetartiodactyla Balaenopteridae Balaenoptera Balaenoptera borealis 22106251.95
Cetartiodactyla Balaenopteridae Balaenoptera Balaenoptera edeni 19999999.97
Cetartiodactyla Ziphiidae Berardius Berardius bairdii 11380000.04
Cetartiodactyla Ziphiidae Berardius Berardius arnuxii 7000000.02
Cetartiodactyla Delphinidae Orcinus Orcinus orca 5628758.66
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon europaeus 5600000.02
Cetartiodactyla Balaenopteridae Balaenoptera Balaenoptera acutorostrata 5587093.59
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon stejnegeri 4800000.02
Cetartiodactyla Ziphiidae Ziphius Ziphius cavirostris 4774999.99
Proboscidea Elephantidae Loxodonta Loxodonta africana 3824540
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon carlhubbsi 3400000
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon bidens 3400000
Cetartiodactyla Ziphiidae Hyperoodon Hyperoodon ampullatus 3393361.08
Proboscidea Elephantidae Elephas Elephas maximus 3269794
Cetartiodactyla Ziphiidae Hyperoodon Hyperoodon planifrons 3000000.01
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon grayi 2899999.98
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon traversii 2827272.72636364
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon peruvianus 2827272.72636364
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon perrini 2827272.72636364
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon bowdoini 2599999.99
Cetartiodactyla Ziphiidae Tasmacetus Tasmacetus shepherdi 2500000
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon densirostris 2299999.99
Perissodactyla Rhinocerotidae Ceratotherium Ceratotherium simum 2285939
Cetartiodactyla Ziphiidae Indopacetus Indopacetus pacificus 2200000
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon mirus 2099999.99
Perissodactyla Rhinocerotidae Rhinoceros Rhinoceros unicornis 1843656
Perissodactyla Rhinocerotidae Rhinoceros Rhinoceros sondaicus 1750000
Carnivora Phocidae Mirounga Mirounga leonina 1600000
Cetartiodactyla Hippopotamidae Hippopotamus Hippopotamus amphibius 1536310
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon layardii 1500000
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon ginkgodens 1500000
Cetartiodactyla Monodontidae Delphinapterus Delphinapterus leucas 1381640.73
Cetartiodactyla Delphinidae Pseudorca Pseudorca crassidens 1360000
Carnivora Phocidae Mirounga Mirounga angustirostris 1112391
Perissodactyla Rhinocerotidae Dicerorhinus Dicerorhinus sumatrensis 1046156
Carnivora Odobenidae Odobenus Odobenus rosmarus 1042996
Cetartiodactyla Ziphiidae Mesoplodon Mesoplodon hectori 1000000
Perissodactyla Rhinocerotidae Diceros Diceros bicornis 995940.5
