species,family,order,length,length.measurement
Aaptosyax_grypus,Cyprinidae,Cypriniformes,130,SL
Abalistes_stellatus,Balistidae,Tetraodontiformes,60,TL
Abbottina_liaoningensis,Cyprinidae,Cypriniformes,6.6,SL
Abbottina_rivularis,Cyprinidae,Cypriniformes,11,TL
Ablabys_taenianotus,Tetrarogidae,Scorpaeniformes,15,TL
Ablennes_hians,Belonidae,Beloniformes,140,TL
Aboma_etheostoma,Gobiidae,Perciformes,NA,NA
Abramis_brama,Cyprinidae,Cypriniformes,82,TL
Abudefduf_abdominalis,Pomacentridae,Perciformes,30,TL
Abudefduf_bengalensis,Pomacentridae,Perciformes,17,TL
Abudefduf_concolor,Pomacentridae,Perciformes,19,TL
Abudefduf_declivifrons,Pomacentridae,Perciformes,18,SL
Abudefduf_hoefleri,Pomacentridae,Perciformes,20,TL
Abudefduf_lorenzi,Pomacentridae,Perciformes,18,TL
Abudefduf_luridus,Pomacentridae,Perciformes,15,TL
Abudefduf_margariteus,Pomacentridae,Perciformes,16,SL
Abudefduf_notatus,Pomacentridae,Perciformes,17,TL
Abudefduf_saxatilis,Pomacentridae,Perciformes,22.9,TL
Abudefduf_septemfasciatus,Pomacentridae,Perciformes,23,TL
Abudefduf_sexfasciatus,Pomacentridae,Perciformes,16,TL
Abudefduf_sordidus,Pomacentridae,Perciformes,23,TL
Abudefduf_sparoides,Pomacentridae,Perciformes,16,TL
Abudefduf_taurus,Pomacentridae,Perciformes,25,TL
Abudefduf_troschelii,Pomacentridae,Perciformes,20,TL
Abudefduf_vaigiensis,Pomacentridae,Perciformes,20,TL
Abudefduf_whitleyi,Pomacentridae,Perciformes,14,SL
Abyssocottus_gibbosus,Abyssocottidae,Scorpaeniformes,14,TL
Abyssocottus_korotneffi,Abyssocottidae,Scorpaeniformes,12.6,TL
Acanthalburnus_microlepis,Cyprinidae,Cypriniformes,25,TL
Acanthaluteres_vittiger,Monacanthidae,Tetraodontiformes,35,TL
Acantharchus_pomotis,Centrarchidae,Perciformes,21,TL
Acanthemblemaria_aspera,Chaenopsidae,Perciformes,4,TL
Acanthemblemaria_betinensis,Chaenopsidae,Perciformes,NA,NA
Acanthemblemaria_exilispinus,Chaenopsidae,Perciformes,5.5,TL
Acanthemblemaria_paula,Chaenopsidae,Perciformes,1.8,SL
Acanthemblemaria_spinosa,Chaenopsidae,Perciformes,2.8,TL
Acanthicus_adonis,Loricariidae,Siluriformes,20.6,SL
Acanthistius_ocellatus,Serranidae,Perciformes,45,TL
Acanthobrama_lissneri,Cyprinidae,Cypriniformes,12,TL
Acanthobrama_marmid,Cyprinidae,Cypriniformes,NA,NA
Acanthobrama_mirabilis,Cyprinidae,Cypriniformes,NA,NA
Acanthobrama_terraesanctae,Cyprinidae,Cypriniformes,25,TL
Acanthocepola_sp,Cepolidae,Perciformes,NA,NA
Acanthochromis_polyacanthus,Pomacentridae,Perciformes,14,TL
Acanthocobitis_botia,Balitoridae,Cypriniformes,11,TL
Acanthocobitis_zonalternans,Balitoridae,Cypriniformes,7.8,SL
Acanthocybium_solandri,Scombridae,Perciformes,250,TL
Acanthodoras_cataphractus,Doradidae,Siluriformes,11.5,SL
Acanthodoras_spinosissimus,Doradidae,Siluriformes,13.7,SL
Acanthogobio_guentheri,Cyprinidae,Cypriniformes,20,SL
Acanthogobius_flavimanus,Gobiidae,Perciformes,30,TL
Acantholabrus_palloni,Labridae,Perciformes,25,TL
Acanthopagrus_australis,Sparidae,Perciformes,66,SL
Acanthopagrus_berda,Sparidae,Perciformes,90,TL
Acanthopagrus_bifasciatus,Sparidae,Perciformes,50,TL
Acanthopagrus_butcheri,Sparidae,Perciformes,60,TL
Acanthopagrus_chinshira,Sparidae,Perciformes,20.4,SL
Acanthopagrus_latus,Sparidae,Perciformes,50,TL
Acanthopagrus_schlegelii_schlegelii,Sparidae,Perciformes,50,SL
Acanthopagrus_sivicolus,Sparidae,Perciformes,45,SL
Acanthopagrus_taiwanensis,Sparidae,Perciformes,NA,NA
Acanthopoma_annectens,Trichomycteridae,Siluriformes,12,SL
Acanthopsoides_gracilentus,Cobitidae,Cypriniformes,6,SL
Acanthopsoides_hapalias,Cobitidae,Cypriniformes,6,TL
Acanthopsoides_robertsi,Cobitidae,Cypriniformes,5.5,SL
Acanthorhodeus_chankaensis,Cyprinidae,Cypriniformes,12,TL
Acanthorhodeus_macropterus,Cyprinidae,Cypriniformes,27.5,SL
Acanthostracion_polygonius,Ostraciidae,Tetraodontiformes,50,NG
Acanthostracion_quadricornis,Ostraciidae,Tetraodontiformes,55,TL
Acanthurus_bahianus,Acanthuridae,Perciformes,38.1,SL
Acanthurus_blochii,Acanthuridae,Perciformes,45,SL
Acanthurus_chirurgus,Acanthuridae,Perciformes,39,TL
Acanthurus_coeruleus,Acanthuridae,Perciformes,39,TL
Acanthurus_dussumieri,Acanthuridae,Perciformes,54,TL
Acanthurus_guttatus,Acanthuridae,Perciformes,26,TL
Acanthurus_japonicus,Acanthuridae,Perciformes,21,TL
Acanthurus_mata,Acanthuridae,Perciformes,50,TL
Acanthurus_nigricans,Acanthuridae,Perciformes,21.3,TL
Acanthurus_nigrofuscus,Acanthuridae,Perciformes,21,TL
Acanthurus_nigroris,Acanthuridae,Perciformes,25,TL
Acanthurus_nubilus,Acanthuridae,Perciformes,26,TL
Acanthurus_olivaceus,Acanthuridae,Perciformes,35,TL
Acanthurus_pyroferus,Acanthuridae,Perciformes,25,TL
Acanthurus_thompsoni,Acanthuridae,Perciformes,27,TL
Acanthurus_triostegus,Acanthuridae,Perciformes,27,TL
Acanthurus_xanthopterus,Acanthuridae,Perciformes,70,TL
Acantopsis_sp,Cobitidae,Cypriniformes,NA,NA
Acarichthys_heckelii,Cichlidae,Perciformes,13.4,SL
